age,income,credit_score,balance,approved
61,50029,699,11462,1
27,111364,752,6459,1
22,47548,523,24762,0
66,107762,641,10682,0
72,143643,704,8795,1
38,55487,788,14504,1
27,75192,571,12097,1
50,93841,801,15966,1
74,105004,749,15371,1
25,39265,521,12913,1
35,143039,585,18703,0
31,76288,511,12177,0
62,44049,669,21875,1
50,77202,819,26485,1
64,71859,707,5181,0
72,71025,539,10384,0
66,70952,674,16576,0
50,54018,473,31793,0
68,99528,755,16711,1
29,90828,439,4755,1
61,55997,682,24514,1
59,190291,636,50500,1
21,111857,456,41040,0
70,106594,454,18005,0
67,145074,537,20526,1
27,143907,553,26436,1
30,76655,486,47955,0
21,101279,623,7327,1
74,131477,526,11332,0
26,46339,622,5763,0
70,51916,676,47122,1
54,144323,601,10409,1
67,113188,691,16697,0
44,83148,633,7621,1
42,33052,644,24166,1
66,105320,521,42821,0
25,91344,544,19931,1
67,160414,649,19438,0
72,79964,442,27381,1
47,86196,695,28076,0
27,42157,695,35057,1
33,59251,610,17529,1
36,144773,427,35526,0
27,40242,842,37381,0
69,139364,488,19940,1
46,151310,487,1017,1
71,127741,547,29232,0
71,96101,692,8647,1
24,98876,641,31958,1
58,87243,765,21752,1
53,45473,499,24454,0
36,79632,778,23358,1
23,103828,599,23959,0
37,60675,691,11262,1
63,107186,613,45118,0
21,85266,838,56510,1
34,90423,468,14932,1
36,76224,483,37224,0
60,180191,719,21663,1
56,69519,677,46196,1
28,148231,699,8667,1
34,117162,508,26218,1
52,65100,760,4937,0
74,67422,327,33277,0
37,56177,607,29696,1
28,44687,748,42686,1
74,76193,644,17821,1
44,150454,716,39152,1
34,112103,678,15094,1
47,174785,701,44781,1
31,175954,720,40765,1
68,157163,711,17157,0
68,132185,539,34243,1
23,141381,518,36078,1
40,133962,743,10761,1
46,72237,740,49836,1
62,90814,681,37914,1
22,50565,798,9375,0
37,37603,657,14817,0
48,102178,631,16202,1
37,38961,605,21297,0
64,117429,699,27943,1
25,164753,766,25710,1
28,117477,553,13577,1
46,114222,644,9785,0
45,111449,757,25364,1
56,136435,555,10358,0
59,108399,615,18281,1
51,129202,790,31298,1
39,91489,668,14456,0
69,63616,558,35433,1
23,64533,619,38347,1
47,147398,651,30356,1
46,64455,675,1631,0
70,147244,710,10631,0
65,91770,403,11600,0
50,52864,615,21752,1
41,165156,752,25236,1
53,81973,759,18421,1
51,84400,702,37647,1
70,92146,666,12426,1
39,63582,568,41731,1
30,63280,685,29734,1
47,72486,616,5466,0
45,151912,653,29178,0
69,98458,619,46634,1
45,140324,785,17424,1
55,130263,755,20040,1
52,35333,568,28360,1
31,137744,765,52244,1
46,100415,677,6347,1
50,58366,536,14188,1
42,123828,585,32184,0
37,136662,617,32017,1
43,62616,421,48455,1
22,165008,506,3127,1
29,86896,456,47232,1
37,124737,489,24994,0
28,126517,487,13636,1
40,98470,760,15852,0
33,44810,684,25897,1
70,69725,683,35367,0
57,127322,572,17768,1
53,107454,352,17462,0
48,169131,669,36882,1
48,57771,634,26976,0
55,125998,615,36682,1
41,139971,727,6449,0
36,122131,649,27824,1
52,139818,497,10419,0
42,67696,657,40659,1
54,164474,435,30447,1
69,64120,619,30015,1
22,47454,518,28989,1
58,76174,644,14750,0
56,72478,688,12305,1
28,117703,560,31676,0
65,58726,515,19883,0
69,92522,546,6946,1
35,75378,554,29817,1
23,175007,644,29274,1
69,88772,744,23545,1
49,73426,794,11706,0
28,134253,593,5963,1
24,55056,721,47401,1
36,50975,706,24953,0
35,126171,585,43104,1
58,184435,555,25614,1
68,48351,705,25818,1
26,55667,493,6002,1
49,113119,617,3958,1
39,115044,612,28769,0
71,128777,655,35265,1
28,94799,672,43095,0
25,41978,714,24454,0
39,83258,617,13403,1
38,89825,625,6213,1
48,119682,659,3523,1
64,136863,651,47608,0
64,134125,651,32813,1
54,107976,764,9465,1
61,132814,797,19335,1
41,110469,738,14272,1
39,109450,593,32664,1
26,70937,563,50355,1
53,134775,315,39811,1
24,58979,578,32433,0
69,40446,539,7930,0
65,88100,378,26024,0
66,55817,643,22623,1
74,154002,614,7508,0
52,159545,550,29683,1
51,178089,528,22582,1
59,90685,746,39403,1
71,140520,570,34264,1
21,67988,553,24100,0
52,142779,609,19889,1
69,94668,612,13999,1
65,63980,586,38804,1
41,121236,688,35742,1
63,128973,673,8566,0
29,90025,655,39837,0
49,48419,761,2714,1
62,172980,426,33891,1
60,113586,673,38494,0
75,93543,786,25876,0
52,144312,387,5730,0
39,192091,700,17976,1
61,115173,446,9000,1
22,39300,716,13045,1
30,64474,597,28491,1
32,45291,743,25554,1
58,54047,614,11754,1
21,150436,615,12855,1
25,83526,572,24128,0
48,113251,613,13337,0
75,87937,525,23454,0
65,69134,805,27345,1
57,142738,710,50924,0
68,89412,758,12808,0
