Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,Win
1930,Groups,France,4,1,Mexico,4444,1
1930,Groups,USA,3,0,Belgium,18346,1
1930,Groups,Yugoslavia,2,1,Brazil,24059,1
1930,Groups,Romania,3,1,Peru,2549,1
1930,Groups,Argentina,1,0,France,23409,1
1930,Groups,Chile,3,0,Mexico,9249,1
1930,Groups,Yugoslavia,4,0,Bolivia,18306,1
1930,Groups,USA,3,0,Paraguay,18306,1
1930,Groups,Uruguay,1,0,Peru,57735,1
1930,Groups,Chile,1,0,France,2000,1
1930,Groups,Argentina,6,3,Mexico,42100,1
1930,Groups,Brazil,4,0,Bolivia,25466,1
1930,Groups,Paraguay,1,0,Belgium,12000,1
1930,Groups,Uruguay,4,0,Romania,70022,1
1930,Groups,Argentina,3,1,Chile,41459,1
1930,finals,Argentina,6,1,USA,72886,1
1930,finals,Uruguay,6,1,Yugoslavia,79867,1
1930,Final,Uruguay,4,2,Argentina,68346,1
1934,Groups,Austria,3,2,France,16000,1
1934,Groups,Hungary,4,2,Egypt,9000,1
1934,Groups,Switzerland,3,2,Netherlands,33000,1
1934,Groups,Sweden,3,2,Argentina,14000,1
1934,Groups,Germany,5,2,Belgium,8000,1
1934,Groups,Spain,3,1,Brazil,21000,1
1934,Groups,Italy,7,1,USA,25000,1
1934,Groups,Czechoslovakia,2,1,Romania,9000,1
1934,finals,Czechoslovakia,3,2,Switzerland,12000,1
1934,finals,Germany,2,1,Sweden,3000,1
1934,finals,Italy,1,1,Spain,35000,0
1934,finals,Austria,2,1,Hungary,23000,1
1934,finals,Italy,1,0,Spain,43000,1
1934,finals,Italy,1,0,Austria,35000,1
1934,finals,Czechoslovakia,3,1,Germany,15000,1
1934,finals,Germany,3,2,Austria,7000,1
1934,Final,Italy,2,1,Czechoslovakia,55000,1
1938,Groups,Switzerland,1,1,Germany,27152,0
1938,Groups,Hungary,6,0,Dutch East Indies,9000,1
1938,Groups,France,3,1,Belgium,30454,1
1938,Groups,Cuba,3,3,Romania,7000,0
1938,Groups,Italy,2,1,Norway,19000,1
1938,Groups,Brazil,6,5,Poland,13452,1
1938,Groups,Czechoslovakia,3,0,Netherlands,11000,1
1938,Groups,Cuba,2,1,Romania,8000,1
1938,Groups,Switzerland,4,2,Germany,20025,1
1938,finals,Brazil,1,1,Czechoslovakia,22021,0
1938,finals,Hungary,2,0,Switzerland,15000,1
1938,finals,Sweden,8,0,Cuba,7000,1
1938,finals,Italy,3,1,France,58455,1
1938,finals,Brazil,2,1,Czechoslovakia,18141,1
1938,finals,Hungary,5,1,Sweden,20000,1
1938,finals,Italy,2,1,Brazil,33000,1
1938,finals,Brazil,4,2,Sweden,12000,1
1938,Final,Italy,4,2,Hungary,45000,1
1950,Groups,Brazil,4,0,Mexico,81649,1
